State,District,Species Identified,Category of Species
Arunachal Pradesh,East Siang,assamensis,Fauna
Arunachal Pradesh,East Siang,muntjak,Fauna
Arunachal Pradesh,East Siang,porcinus,Fauna
Arunachal Pradesh,East Siang,brachyura,Fauna
Arunachal Pradesh,East Siang,indica,Fauna
Arunachal Pradesh,East Siang,aureus,Fauna
Arunachal Pradesh,East Siang,hispidus,Fauna
Arunachal Pradesh,East Siang,maximus,Fauna
Arunachal Pradesh,East Siang,unicolor,Fauna
Arunachal Pradesh,East Siang,scrofa,Fauna
Arunachal Pradesh,East Siang,pardus,Fauna
Arunachal Pradesh,West Kameng,"Opsarius barna (Hamilton, 1822)",Fauna
Arunachal Pradesh,West Kameng,crassicaudata,Fauna
Arunachal Pradesh,West Kameng,formosae,Fauna
Arunachal Pradesh,West Kameng,maximus,Fauna
Arunachal Pradesh,West Kameng,"Cirrhinus reba (Hamilton, 1822)",Fauna
Arunachal Pradesh,West Kameng,"Trichogaster lalius (Hamilton, 1822)",Fauna
Arunachal Pradesh,West Kameng,"Laubuka laubuca (Hamilton, 1822)",Fauna
Arunachal Pradesh,West Kameng,"Barilius bendelisis (Hamilton, 1822)",Fauna
Arunachal Pradesh,West Kameng,"Oreichthys crenucoids (Schafer, 2009)",Fauna
Arunachal Pradesh,West Kameng,"Glyptothorax botius (Hamilton, 1822)",Fauna
Arunachal Pradesh,West Kameng,Mustura dikrongensis (Lokeshwor & Vishwanath 2012),Fauna
Arunachal Pradesh,West Kameng,"Tariqilabeo latius (Hamilton,1822)",Fauna
Arunachal Pradesh,West Kameng,nebulosa,Fauna
Arunachal Pradesh,West Kameng,muntjak,Fauna
Arunachal Pradesh,West Kameng,"Glyptothorax dikrongensis (Tamang & Chaudhury, 2011)",Fauna
Arunachal Pradesh,West Kameng,"Salmostoma bacaila (Hamilton, 1822)",Fauna
Arunachal Pradesh,West Kameng,"Tor putitora (Hamilton, 1822)",Fauna
Arunachal Pradesh,West Kameng,Pardus,Fauna
Arunachal Pradesh,West Kameng,"Psilorhynchus sucatio (Hamilton, 1822)",Fauna
Arunachal Pradesh,West Kameng,"Cirrhinus mrigala (Hamilton, 1822)",Fauna
Arunachal Pradesh,West Kameng,"Garra arupi Nebeshwar, Vishwanath & Das, 2009",Fauna
Arunachal Pradesh,West Kameng,"Leiodon cutcutia (Hamilton, 1822)",Fauna
Arunachal Pradesh,West Kameng,"Amblypharyngodon mola  (Hamilton, 1822)",Fauna
Arunachal Pradesh,West Kameng,"Devario aequipinnatus (McClelland, 1839)",Fauna
Arunachal Pradesh,West Kameng,bicalcaratum,Fauna
Arunachal Pradesh,West Kameng,"Gagata cenia (Hamilton, 1822)",Fauna
Arunachal Pradesh,West Kameng,Amblyceps leticeps (M'Clelland 1842),Fauna
Arunachal Pradesh,West Kameng,"Ompok bimaculatus (Bloch, 1794)",Fauna
Arunachal Pradesh,West Kameng,"Labeo gonius (Hamilton, 1822)",Fauna
Arunachal Pradesh,West Kameng,"Labeo bata (Hamilton, 1822)",Fauna
Arunachal Pradesh,West Kameng,"Garra birostris  Nebeshwar & Vishwanath, 2013",Fauna
Arunachal Pradesh,West Kameng,"Pterocryptis indica (Datta, Barman & Jayaram, 1987)",Fauna
Arunachal Pradesh,West Kameng,blythii,Fauna
Arunachal Pradesh,West Kameng,caeruleus,Fauna
Arunachal Pradesh,West Kameng,"Raiamas bola (Hamilton, 1822)",Fauna
Arunachal Pradesh,West Kameng,"Garra arunachalensis Nebeshwar & Vishwanath, 2013",Fauna
Arunachal Pradesh,West Kameng,monileger,Fauna
Arunachal Pradesh,West Kameng,torqueola,Fauna
Arunachal Pradesh,West Kameng,"Pethia guganio (Hamilton, 1822)",Fauna
Arunachal Pradesh,West Kameng,"Labeo rohita (Hamilton, 1822)",Fauna
Arunachal Pradesh,West Kameng,"Neolissochilus hexagonolepis (McClelland, 1939)",Fauna
Arunachal Pradesh,West Kameng,"Labeo calbasu (Hamilton, 1822)",Fauna
Arunachal Pradesh,West Kameng,"Nangra assamensis (Sen & Biswas, 1994)",Fauna
Arunachal Pradesh,West Kameng,"Trichogaster chuna (Day, 1877)",Fauna
Arunachal Pradesh,West Kameng,cruentus,Fauna
Arunachal Pradesh,West Kameng,"Botia dario (Hamilton, 1822)",Fauna
Arunachal Pradesh,West Kameng,"Batasio merianensis (Chaudhuri, 1913)",Fauna
Arunachal Pradesh,West Kameng,larvata,Fauna
Arunachal Pradesh,West Kameng,"Eutropichthys vacha (Hamilton, 1822)",Fauna
Arunachal Pradesh,West Kameng,"Garra annandalei Hora, 1921  ",Fauna
Arunachal Pradesh,West Kameng,munzala,Fauna
Arunachal Pradesh,West Kameng,"Batasio batasio (Hamilton, 1822)",Fauna
Arunachal Pradesh,West Kameng,erythrocephalum,Fauna
Arunachal Pradesh,West Kameng,"Notopterus notopterus (Pallas, 1769)",Fauna
Arunachal Pradesh,West Kameng,Creteuchiloglanis sp. 1,Fauna
